ts,date,open,high,low,close
1786399200,2026-08-10 22:00,63949.0,64027.4,63908.0,63987.5
1786402800,2026-08-10 23:00,63987.5,63992.1,63881.6,63939.3
1786406400,2026-08-11 00:00,63939.3,64032.6,63863.9,64006.1
1786410000,2026-08-11 01:00,64006.1,64048.2,63923.9,64026.6
1786413600,2026-08-11 02:00,64026.6,64054.0,63999.9,64012.9
1786417200,2026-08-11 03:00,64012.8,64148.0,64012.8,64110.7
1786420800,2026-08-11 04:00,64110.7,64124.2,63997.0,63997.0
1786424400,2026-08-11 05:00,63997.0,64023.4,63929.2,63965.0
1786428000,2026-08-11 06:00,63965.0,64021.8,63820.0,63940.0
1786431600,2026-08-11 07:00,63940.0,64077.0,63876.4,64031.7
1786435200,2026-08-11 08:00,64031.8,64124.8,64010.4,64109.8
1786438800,2026-08-11 09:00,64109.7,64281.0,64106.0,64281.0
1786442400,2026-08-11 10:00,64280.9,64290.1,64172.0,64205.3
1786446000,2026-08-11 11:00,64205.3,64380.0,64205.3,64358.3
1786449600,2026-08-11 12:00,64358.4,64470.0,64259.1,64303.2
1786453200,2026-08-11 13:00,64303.1,64345.9,64020.2,64174.4
1786456800,2026-08-11 14:00,64174.4,64240.0,63680.0,63747.0
1786460400,2026-08-11 15:00,63747.0,63845.7,63420.0,63585.3
1786464000,2026-08-11 16:00,63585.3,63637.5,63436.5,63488.5
1786467600,2026-08-11 17:00,63488.5,63615.5,63432.3,63580.1
1786471200,2026-08-11 18:00,63580.2,63609.1,63222.0,63352.5
1786474800,2026-08-11 19:00,63352.5,63513.9,63211.6,63508.5
1786478400,2026-08-11 20:00,63508.5,63732.7,63508.5,63720.8
1786482000,2026-08-11 21:00,63720.8,63757.5,63590.7,63641.5
1786485600,2026-08-11 22:00,63641.6,63746.4,63601.2,63641.6
1786489200,2026-08-11 23:00,63641.7,63641.7,63527.3,63572.0
1786492800,2026-08-12 00:00,63571.9,63722.4,63505.3,63717.2
1786496400,2026-08-12 01:00,63717.2,63828.7,63665.2,63796.0
1786500000,2026-08-12 02:00,63796.0,63886.0,63701.2,63722.6
1786503600,2026-08-12 03:00,63722.5,63819.2,63678.4,63800.1
1786507200,2026-08-12 04:00,63800.1,63863.6,63706.4,63747.2
1786510800,2026-08-12 05:00,63747.2,63846.3,63698.2,63811.4
1786514400,2026-08-12 06:00,63811.3,63811.3,63574.6,63688.0
1786518000,2026-08-12 07:00,63687.9,63812.5,63603.4,63804.8
1786521600,2026-08-12 08:00,63804.8,63844.0,63741.1,63769.9
1786525200,2026-08-12 09:00,63770.0,64077.0,63735.4,64077.0
1786528800,2026-08-12 10:00,64076.9,64191.8,64026.5,64111.4
1786532400,2026-08-12 11:00,64111.4,64222.2,64080.0,64207.3
1786536000,2026-08-12 12:00,64207.3,64450.0,63939.1,64090.0
1786539600,2026-08-12 13:00,64089.9,64131.4,63799.0,63805.9
1786543200,2026-08-12 14:00,63806.0,63911.9,63334.4,63344.4
1786546800,2026-08-12 15:00,63344.3,63551.9,63291.1,63421.4
1786550400,2026-08-12 16:00,63421.3,63557.5,63338.9,63462.3
1786554000,2026-08-12 17:00,63462.3,63528.2,63388.8,63450.1
1786557600,2026-08-12 18:00,63450.0,63507.0,63350.0,63360.0
1786561200,2026-08-12 19:00,63360.0,63441.0,63283.0,63394.9
1786564800,2026-08-12 20:00,63394.8,63573.5,63392.5,63573.5
1786568400,2026-08-12 21:00,63573.5,63629.8,63389.9,63441.4
1786572000,2026-08-12 22:00,63441.4,63508.0,63337.5,63405.9
1786575600,2026-08-12 23:00,63405.8,63466.0,63350.0,63454.7
1786579200,2026-08-13 00:00,63454.6,63694.9,63437.0,63530.1
1786582800,2026-08-13 01:00,63530.0,63611.4,63355.1,63428.8
1786586400,2026-08-13 02:00,63428.9,63553.7,63343.8,63522.4
1786590000,2026-08-13 03:00,63522.4,63670.1,63474.0,63623.5
1786593600,2026-08-13 04:00,63623.5,63763.6,63564.9,63672.9
1786597200,2026-08-13 05:00,63672.9,63990.7,63647.6,63844.4
1786600800,2026-08-13 06:00,63844.4,63914.6,63725.2,63914.5
1786604400,2026-08-13 07:00,63914.5,63916.6,63824.2,63833.0
1786608000,2026-08-13 08:00,63833.0,63881.3,63710.6,63743.8
1786611600,2026-08-13 09:00,63743.7,63768.0,63559.9,63757.0
1786615200,2026-08-13 10:00,63757.1,63800.0,63536.0,63628.9
1786618800,2026-08-13 11:00,63628.8,63637.8,63318.1,63458.5
1786622400,2026-08-13 12:00,63458.6,63697.7,63414.4,63669.2
1786626000,2026-08-13 13:00,63669.2,63828.0,63534.0,63699.9
1786629600,2026-08-13 14:00,63700.0,63980.6,63655.0,63835.6
1786633200,2026-08-13 15:00,63835.7,63920.0,63385.0,63385.0
1786636800,2026-08-13 16:00,63385.1,63544.0,62800.0,63139.0
1786640400,2026-08-13 17:00,63138.9,63276.4,63047.6,63121.4
1786644000,2026-08-13 18:00,63121.5,63348.0,63088.0,63284.7
1786647600,2026-08-13 19:00,63284.7,63488.0,63284.7,63387.4
1786651200,2026-08-13 20:00,63387.3,63447.0,63343.4,63385.6
1786654800,2026-08-13 21:00,63385.6,63477.4,63360.9,63444.7
1786658400,2026-08-13 22:00,63444.7,63613.6,63444.6,63497.7
1786662000,2026-08-13 23:00,63497.6,63512.8,63366.6,63456.7
1786665600,2026-08-14 00:00,63456.7,63534.0,63378.1,63517.6
1786669200,2026-08-14 01:00,63517.6,63567.8,63428.9,63545.5
1786672800,2026-08-14 02:00,63545.4,63595.1,63437.1,63437.1
1786676400,2026-08-14 03:00,63437.1,63556.1,63277.1,63288.1
1786680000,2026-08-14 04:00,63288.0,63449.6,63243.2,63349.9
1786683600,2026-08-14 05:00,63350.0,63375.6,63256.7,63357.8
1786687200,2026-08-14 06:00,63357.8,63357.8,62900.2,62944.6
1786690800,2026-08-14 07:00,62944.6,63079.1,62888.0,62888.1
1786694400,2026-08-14 08:00,62888.0,62974.4,62658.8,62904.9
1786698000,2026-08-14 09:00,62904.9,62904.9,62709.3,62763.9
1786701600,2026-08-14 10:00,62763.9,62912.4,62712.0,62787.7
1786705200,2026-08-14 11:00,62787.7,62906.2,62779.3,62837.4
1786708800,2026-08-14 12:00,62837.5,62885.3,62688.1,62706.0
1786712400,2026-08-14 13:00,62706.1,62794.8,62555.5,62639.6
1786716000,2026-08-14 14:00,62639.8,62774.9,62484.2,62581.0
1786719600,2026-08-14 15:00,62581.0,63061.7,62576.5,62956.0
1786723200,2026-08-14 16:00,62956.0,63194.4,62933.7,63105.8
1786726800,2026-08-14 17:00,63105.9,63215.3,62965.0,62988.4
1786730400,2026-08-14 18:00,62988.4,63050.0,62857.9,62900.0
1786734000,2026-08-14 19:00,62899.9,62968.0,62781.4,62936.3
1786737600,2026-08-14 20:00,62936.4,62995.1,62864.6,62878.5
